Sid,XKSid,YDSid,XKZZ,YDZZ
324,887:1318:1318,327:500:412:256:500:436:418:164:195:259:667:259,乳酪是油脂性食物，而莴苣性寒，二者同食，容易导致消化不良，或腹痛腹泻。同时，莴苣生食时，因洗涤不净，易受寄生虫污染，如钩虫、蛔虫等，皆不利于健康。|不利肠胃，易致腹泻|会引起腹泻,可治疗肺热痰火|可营养丰富|可降低血压|可控制血糖、降血压|可营养丰富|可降脂、降血糖|可降低血糖、利尿通便|补钙|可强心健脾|可防高血压|可营养均衡|防止高血压
347,1318:120,738:682:311:226:690:226,引发痼疾|会易得结石,催乳汁|可补虚益气|可降血压|可清热解毒、利尿降压|可保肝护肾|可清热利尿
296,,869:331:969,,可滋阴宣肺|可减肥、延缓衰老|可营养互补
293,690:243:689:1512:252:870,618:672:738:226:667:738:311:63,菜花含有大量纤维素，纤维素中的醛糖酸残基可与猪肝中的铁、铜、锌等微量元素形成螯合物而降低人体对这些元素的吸收|花菜中的维生素C会被黄瓜中的分解酶破坏|身体不适|因为香椿中含有丰富的钙质，而菜花中所含的化学成分会影响到钙质的消化和吸收。所以，香椿不适宜和菜花一同食用。|破坏维生素C的吸收|牛奶含丰富的钙质，菜花所含的化学成份影响钙的消化吸收,降血脂降血压|提高蛋白质的吸收率|帮助吸收维生素B12|降血脂降血压|提高蛋白质的吸收率|帮助吸收维生素B12|可预防心血管疾病|可健脾益胃、助消化
295,870,997:414:407:738:868:1058:1002:195:226:414:407:1454:1499,影响钙的吸收,防癌抗癌|防癌抗癌|防癌抗癌|可补充能量、营养丰富|可增强肝脏解毒能力、提高免疫力|可提高免疫力、促进消化|可补脾和胃|可预防消化系统疾病|可抗癌|可提高免疫力|可增强免疫力、防癌抗癌|可防癌|可利于营养吸收
338,866:867,391:935,会引起痔疮发作|会引发痔疮,可清热祛毒、降血压|可通血脉、利筋骨
323,,908:120,,缓解眩晕头痛|清热降压
335,763:667:667:763,340:344:1499:32:1499:1485:155:578:653:622:463:423:908:311:1031:908:439:340:423,腹泻|一起吃会引起中毒|会导致中毒|会导致腹泻,可去火止咳|可润肺止咳|可补肾养血、清热除烦|可安神解烦|可补肾养血、清热除烦|可清心润肺|可解渴润燥、降血压、降血糖|可治疗失眠|可清心镇静|可消炎、止咳平喘|可化痰平喘|可清咽润肺|滋阴润燥清心安神|可润肺益肾、止咳平喘|可润肺调中、滋阴润肺|可滋阴润燥、除烦热、补阴血|润肺止咳|抗癌|滋阴润肺
1444,209:646:180,667:138:945,影响营养素的吸收|会降低营养价值|会降低营养,可开胃消食|可和胃补肾|可减肥、降血压、补虚、健胃
385,,,,
1482,817:344:868:667:311:672:816,235:423:251:423:492:1499:587:1499,中毒|会导致腹泻|一起吃会中毒|一起吃严重会导致死亡|一起吃会引起呕吐|中毒|中毒,缓解目赤红肿等症|润燥除烦|可清热解毒、祛斑祛风|可镇静解热|可消食健胃、瘦身减肥|可滋阴补肾、清肝明目|可养肝明目|可滋阴补肾、清肝明目
212,,,,
388,,1040:1031,,可治鼻出血、牙龈出血|可止血
272,,,,
394,444,412:939:1017:434,营养维生素的吸收,补肾壮骨健脑通络|营养吸收更全面|强壮身体防癌抗病|能吸收到更高的营养
396,,135,,抗疲劳
322,,,,
398,803,1017:229,会导致呕吐、腹泻,可防治牙龈出血|可助消化
300,,283:738:350:226:63,,抗癌|可养肝明目、增强食欲|可消暑|可防癌|可通便利尿
326,870:870:887,385:232,影响钙质的吸收|会影响钙质吸收|会影响钙吸收,可防止老化|可降压止痛
369,,,,
311,,,,
392,,,,
371,,,,
292,243:243,412:195:618:226:667:229,影响维生素C的吸收|会降低营养价值,健胃补脑强身生津|减少癌细胞的产生|预防癌症促进血液循环|预防癌症促进血液循环|润肠胃生津健身|可助消化
262,271,412:690:969,影响消化,降低血脂|缓解大脑疲劳|可润肺健脾、补气活血
390,,,,
221,763,,易发生黄疸和脚气病,
307,,,,
310,120:870,243:418,会破坏营养素|会影响钙吸收,可减肥塑身|可营养更佳
345,,,,
342,,,,
391,243,338:155:256,会破坏维生素C,可清热祛毒、降血压|可消暑解渴、止痢|可清热治痢
395,,908:428:690:120,,滋阴润燥清热解毒|促进铁的吸收|补充全面营养|减肥健美
300,,283,,抗癌
393,,,,
397,,,,
349,,939:1315:969,,可清热消肿|可防治高血压|可开胃消食
388,,,,
94,573:541:610:618:226:1021:226:541,1381:178:243:178:738:738:738:178,一起吃面部会生斑|一起吃会引起中毒，可以用韭菜水解毒|吃了土豆，人的胃里会产生大量盐酸，如果再吃柿子，柿子在胃酸的作用下会产生沉淀，既难消化，又不易排出|导致食欲不佳消化不良|土豆会在人体的胃肠中产生大量的盐酸；西红柿在较强的酸性环境中会产生不溶于水的沉淀，从而导致食欲不佳，消化不良|会刺激肠胃、不利消化|会致消化不良|会引起中毒,"可分解有毒物质|豇豆的营养成分能够让人头脑宁静,并且能够对消化系统进行调理,还能消除胸膈胀满，所以豇豆和土豆搭配,不但可以防治急性肠胃炎，还可以防治呕吐、腹泻等病症。|可利于身体健康|可除烦润燥|可保护胃黏膜|保护胃黏膜|保护胃黏膜|防止急性肠胃炎呕吐腹泻"
97,1020:1165:63:610:573:226:908:868:226:610:573:908:817:1019:816:1021,653:680:870:653:680:92:311:685,结石|会导致胃痉挛、腹胀|会造成腹胀|会造成胃溃疡|会引起身体不适|会易得结石、导致腹泻|会不消化、易腹痛|同食会腹痛|一起吃会得结石病，呕吐、腹痛、腹泻|腹胀|一起吃会引起身体不适|一起吃会腹痛|同食会腹痛|结|同食会腹痛|容易在体内凝成柿石,适合习惯性便秘和慢性肝炎患者|可补充膳食纤维|可强心护肝|可润肠通便|可营养丰富|减肥|降血压|增加营养素的吸收
355,573,738:738:738:951:311,一起吃会使胃不适，感觉胀痛,养血补血|养血补血|可防治食欲不振|可辅助治疗脾胃虚弱|可增食欲、补气虚
195,192:229:521:248:571:613:492:572:444:222:321:226:1381:350:517:185:492,800:125:112:601:418:295:324:220:317:301:997:984:930:292:1318:983,萝卜主泻、胡萝卜为补，所以二者最好不要同食|会影响吸收|会减低营养价值|会破坏营养|会破坏维生素C|会破坏维生素C|会破坏维生素C|会破坏维生素C|会破坏维生素C|会不利消化|会破坏维生素C|维生素C丰富的食品搭配合吃，就会把维生素C破坏|胡萝卜素就会完全被破坏了|胡萝卜中含维生素c分解酶，若山药同食，维生素c则被分解破坏。|身体不适|胡萝卜含有抗坏血酸酶，会破坏白萝卜中的维生素C，使两种萝卜的营养价值都大为降低|胡萝卜富含维生素C分解酶，若含有丰富的维生素C的山楂与含有维生素C分解酶的食物同用，维生素C则易被分解破坏,可益肾壮阳、温补脾胃|可增强免疫力|可利于骨骼发育|可美肌润肤|可保护眼睛|可预防消化系统疾病|可强心健脾|可排毒瘦身|可开胃消食|可保持心血管的畅通|可养肝明目、改善视力|可延缓衰老|可延缓衰老|减少癌细胞的产生|排毒|防癌抗癌
185,574:195:243:610:590:195:694:344:423:412:251:1509:463:500:412,868:667:763:292:950:434:423:120:92:858:129:137:434:120:135:138:134:763,身体不适|会降低营养价值|会破坏维生素C|会降低营养价值|会破坏维生素C|胡萝卜含有抗坏血酸酶，会破坏白萝卜中的维生素C，使两种萝卜的营养价值都大为降低|影响消化|生食寒性较大|易患皮炎|引发皮炎|伤元气|会降低药效|会诱发甲状腺肿大|会破坏维生素C|会引发皮炎,可保护心血管|可消食、除胀、通便|可降血脂|可滋润皮肤|可利水消肿|可清肺热、治咳嗽、清心开胃|可清热解毒|可促进吸收|可消食消肿、止咳化痰|润肺止咳|有利于消化|有利于消化|清肺热治咳嗽|有利于消化|有利于消化|有利于消化|有利于消化|消积滞、化痰热
327,778:763:1316:685:763:120,1024:412:868:1053:324:247:694:292,一起吃会引起中毒|一起吃会引起中毒，可以用地浆水治疗|形成赖氨酸糖基，对人体不利|影响钙的吸收|会导致腹泻|会形成结石,营养全面，易于吸收|清热泻火|可暖胃益气、补精添髓|可滋阴润燥、清热养血|可治疗肺热痰火|可消除疲劳|可补肾利尿|可促进血液循环
399,,667:868:301:63,,滋补营养|可温中补气|可排毒解毒|可通便排毒
350,808:573:243:287:951:690:195:245:1002:252:243:951:939,662:521:776:300:1165:86:63:620:806:620:12:66:824:1:661:534:175:955:869:763:175:653:63:423:869,生涩易便秘|会导致腹痛|会降低营养价值|会影响营养素的吸收|会不利于营养物质吸收|山药富维生素c，猪肝中含铜、铁、锌等金属微量元素，维生素c遇金属离子，则加速氧化而破坏，降低了营养价值|胡萝卜中含维生素c分解酶，若山药同食，维生素c则被分解破坏。|南瓜中皆含维生素c分解酶，若山药同食，维生素c则被分解破坏。|同食会引起腹痛、恶心、呕吐等症状。|胡萝卜中含维生素c分解酶，若山药同食，维生素c则被分解破坏。|黄瓜中含维生素c分解酶，若山药同食，维生素c则被分解破坏。|同食会引起腹痛、恶心、呕吐等症状。|同食会引起腹痛、恶心、呕吐等症状。,可补益脾肾|可补血养颜|可治疗脾胃虚弱|可消暑|可健身益寿|可润肺益脾|可增强人体免疫力|可止血、收敛、养胃|可健脾和胃、补益虚损|可治疗淋浊|可治小儿脾胃虚弱|可丰富营养|治小儿脾虚疳积|可辅助治疗小儿脾胃虚弱|可预防骨质疏松|可补虚养身|可增强人体免疫力|可治虚劳体弱|可滋阴润肺|可健脾胃|补脾益肾|健脾补肾|吸收更多的营养素|滋阴润肺|补阴养肺
344,185,389:1017:950:935:1067:935:1047:685:1002:667,生食寒性较大,排毒|养血补血|美容|滋阴健脾|改善肝脏功能|滋阴健脾|补气|滋阴养肾|改善肝脏功能|健胃壮体
389,,344,,排毒
348,,412:622:418,,补气强身|有利于消化|益胃助食
386,610,,胃出血或胃溃疡,
191,412,120:434,引发皮炎,帮助人体吸收豆腐中的营养|清肺热治咳嗽
330,,412:412,,补血|可补血
331,1500,667:296,伤元气,补肝肾|可减肥、延缓衰老
343,688,,引发腹痛,
341,,,,
194,,,,
200,,,,
188,,,,
387,,,,
199,,,,
275,,,,
350,,,,
178,,94,,防止急性肠胃炎呕吐腹泻
222,1021:1061:1021:1058:944:1020:1058,667:247:301:667:738:955:247:112:803:229:351:948,二者一起吃，伤人肠胃|会危害健康|会郁积腹中、损伤肠胃|会引起霍乱|同食有损肠胃。|一起吃会中毒，可以用藕节治疗|一起吃容易引起霍乱,降低胆固醇的吸收稳定血糖|对缓解心血管疾病有良好功效|加快血液循环预防癌症|可维持正常血压|可强健身体|可降胆固醇|可延缓衰老、益气壮阳、清心明目、保护心血管|可通气、顺畅、润燥消肿|可保护心血管|可抗压美容|可生津止渴、活血化痕，减少皮肤色斑的形成|可营养丰富
226,956:948:245:97:94:1021:1002:943:950:930:1002:94:1019:1248:541:1021:1020:243:97:195:690:418:1067,969:492:120:236:300:1318:940:986:295:347:311:951:908:311:293:292,会不利营养吸收|会不利营养吸收|会降低营养|会易得结石、导致腹泻|会致消化不良|会引起腹痛、腹胀|会产生剧毒|会不利营养成分吸收|会不利营养吸收|会导致铜元素析放|产生砒霜会中毒|土豆会在人体的胃肠中产生大量的盐酸；西红柿在较强的酸性环境中会产生不溶于水的沉淀，从而导致食欲不佳，消化不良|腹泻|一起吃会中毒|影响营养素的吸收|产生砒霜会中毒|一起吃会引起腹泻|西红柿中含大量维生素C，有增强机体抵抗力、防治坏血病、抵抗感染等作用；而黄瓜中含有维生素C分解酶，一起吃可使其中的维生素C遭到破坏|一起吃会得结石病，呕吐、腹痛、腹泻|维生素C丰富的食品搭配合吃，就会把维生素C破坏|西红柿富含维生素C，猪肝使维生素C氧化脱氧，使其失去原来的抗坏血酸功能|破坏类胡萝卜素|产生砒霜会中毒,可促进骨骼发育|可降血压|可补脾健胃|可抗癌|可防癌|可补血养颜|可增加营养|滋润肌肤抗衰老|可抗癌|可清热解毒、利尿降压|可降血压|可营养丰富|可预防心血管疾病、补充维生素|降血压降血脂健胃消食|降血脂降血压|预防癌症促进血液循环
206,,410:1017:1316:410,,消除油脂引起的食欲不佳|提高营养价值|健脾通乳利水|可开胃消食
178,,238:412:63:94:155:868:418:1015:256,,"豇豆和冬瓜一起吃，具有补肾消肿的作用，并且对于肾炎、腰痛和浮肿患者有一定的治疗功效。|豇豆具有解渴健脾、补肾止泻、益气生津的作用；木耳则具有益气养胃润肺、凉血止血和降脂减肥的作用。所以豇豆和木耳一起吃对高血压、高脂血症、糖尿病、心血管病有防治的作用。|玉米粥对于脾胃虚弱、尿频遗精、动脉硬化、冠心病、高血脂、高血压病人有着很好的食疗效果，适合这些患者长期食用，玉米粥配上点豇豆的食物效果更好。|豇豆的营养成分能够让人头脑宁静,并且能够对消化系统进行调理,还能消除胸膈胀满，所以豇豆和土豆搭配,不但可以防治急性肠胃炎，还可以防治呕吐、腹泻等病症。|豇豆和绿豆同煮汤饮服，具有清热解毒的功效，适用于小儿夏季生痱子、小疖肿等病症。|增进食欲|可益气补虚|可健胃补肾、理中益气|可防治高血压"
175,1040,350:418:667:868:350,会导致腹痛,补脾益肾|促进消化|可补中益气、健脾胃|可添精补髓、活血调经|可增强人体免疫力
243,292:558:613:571:532:615:646:398:300:595:521:560:232:391:942:560:226:292:559:276:650:185:282:553:292:350:287:301:317:293:1512:590:517:618:226:311:646:276:311:350,412:310:1381:1318:120:444:94:220:1061:1017:1058:1318,会降低营养价值|会破坏维生素C|会破坏维生素C|会破坏维生素C|会破坏维生素C|会破坏维生素C|会导致腹泻|会降低营养价值|会破坏维生素|会破坏维生素C|会破坏维生素C|柑橘中的维生素C会被黄瓜中的分解酶破坏|会破坏维生素|会破坏维生素C|会不利营养吸收|会破坏维生素|会降低营养|会降低营养价值|会破坏维生素C|会降低营养价值|会导致腹泻|会破坏维生素C|破坏维生素C|身体不适|影响维生素C的吸收|黄瓜中含维生素c分解酶，若山药同食，维生素c则被分解破坏。|降级维生素C的吸收|菠菜中的维生素C会被黄瓜中的分解酶破坏|破坏维生素C|花菜中的维生素C会被黄瓜中的分解酶破坏|黄瓜中含有维生素C分解酶，会破坏到香椿中的维生素C，影响人体对维生素C的吸收，使营养大大降低，故香椿和黄瓜也不宜同食。|影响消化|身体不适|破坏维生素C的吸收|西红柿中含大量维生素C，有增强机体抵抗力、防治坏血病、抵抗感染等作用；而黄瓜中含有维生素C分解酶，一起吃可使其中的维生素C遭到破坏|芹菜中的维生素C将会被分解破坏，降低营养价值|一起吃易导致腹泻|会降低营养价值|会降低营养|会降低营养价值,可均衡营养、减肥瘦身|可减肥塑身|可清热解毒|可润肠通便、清热解毒|可降血脂|可助消化|可利于身体健康|可消火利尿|可营养丰富|可保护肝肾|可清热利尿、健脾益气|润肠通便
238,951:1381:158:951:611:1047,945:435:418:1500:220:521:414:662:340:301:276:428:1031:939:930:868:735:868:685:1500:589:178:409:158,同食降低营养价值。|会降低营养价值|会导致身体脱水|会导致身体脱水|身体不适|身体不适,可降血压、降血脂、清热利尿|可滋阴润燥|可降血压、降血脂|可润肤、明目|可清热解毒|可健脾养胃|利湿|可健脾利尿|可降血脂|可利尿消炎|可润肠减肥|可降血压、降血脂、消肿利湿|可活血化瘀、软坚散结|可清热除湿|可清热平肝|可清热利尿|可治疗小便不爽|消肿清热利尿|祛湿|润肤明目减肥|泻肺火|豇豆和冬瓜一起吃，具有补肾消肿的作用，并且对于肾炎、腰痛和浮肿患者有一定的治疗功效。|利湿|消除全身水肿
247,680:685:611:1002:245:120:229:806,226:222:232:803:690:74:222:327:268:340:919:908:268,形成草酸钙阻碍钙的吸收|形成草酸钙阻碍钙的吸收|身体不适|会易中毒|会破坏维生素C|会易结石、补钙、降血压|会功效降低|会阻碍钙质吸收,可降低血糖|对缓解心血管疾病有良好功效|可美容养颜|可凉血解毒|可清热解毒、补肝明目|可清热解暑|可延缓衰老、益气壮阳、清心明目、保护心血管|可消除疲劳|可提高免疫力|可消除疲劳|可促进钙吸收|可保护骨骼|提高机体的免疫力
245,229:83:248:247:226:282:311:287:1002:961:939:868:763:1002:287:935:1067:1021:939:763,653:155:1165:86:158:158:92:1015:521:350:1058:984:738:667:738:667:155:653:738,会破坏维生素C|会功能相反、不宜同食|会降低营养价值|会破坏维生素C|会降低营养|会降低营养价值|会腹胀、腹泻|会降低油菜的营养价值|会引起腹泻、腹胀|会易中毒|会引起中毒|会妨碍营养吸收|会发生黄疸和脚气|一起吃会引起痢疾，可以用黑豆、甘草解毒|降低维生素C的吸收|身体不适|痢疾|一起吃会引起中毒|一起吃会中毒|两补同时，令人肠胃气壅,可降血压、降脂、通便|可清热解毒、生精止渴|可降低血糖|可治疗脚气|可润肤、止咳、减肥|可润肤、止咳、减肥|可预防贫血|可护肝补肾|可解毒止痛|可提神补气、强肾健脾|可保护眼睛|可预防感冒|可补脾健胃、解毒止痛|可清热解毒、生津止渴|健胃益气|预防糖尿病|保健作用|通便排毒|健胃益气
251,185:301,868:1015:209:1482:428:1017:908:869:908:667:1002:209:1067,伤元气|会引起腹泻,可清热利肠|可凉血止血、滋阴润肺|可清热去火、防治口臭|可清热解毒、祛斑祛风|可预防甲状腺肿大|可养心润肺、润肤|可润肺、补肾|可清热去火|润肺补肾美肤|可祛风通络、清热解毒|润肺补肾美肤|清热祛痰防止便秘口臭|润肺补肾美肤
236,340,120:763:908:268:226,加重脾胃虚寒,减肥美容|可补脾胃、补肝肾、润肤止渴|可补充动物蛋白|可增强免疫|可抗癌
241,,,,
213,,,,
241,,,,
240,,,,
232,,,,
229,247:245,997:222:398:292:293,会功效降低|会破坏维生素C,可增进食欲|可抗压美容|可助消化|可助消化|可防癌抗癌
223,,,,
252,350:293:492,,胡萝卜中含维生素c分解酶，若山药同食，维生素c则被分解破坏。|破坏维生素C的吸收|身体不适,
235,,,,
204,1381,1452:403,破坏营养价值,促进骨骼生长|保护眼睛抗癌抗老化
239,,,,
244,,,,
235,,,,
410,,263:817:248:206:267:951:986:206:120:114:986:263:180,,促进血液循环|促进蛋白质的吸收|降脂降压|消除油脂引起的食欲不佳|促进血液循环|可利尿美容|可提高免疫力|可开胃消食|可促进血液循环|可清热解毒|可提高免疫力|可降血脂|可增强食欲
400,867,738:120,会面生黑斑,可增强免疫力|可降压降脂
418,927:1020:226:867:866:1020,86:287:311:195:324:178:238:667:120:209:954:310:348:293:961:939:930:738:248:738:175:348:738:120:287:997:939:818,面部易长黑斑|易引起结石症状|破坏类胡萝卜素|会面生黑斑|会引起痔疮|会易诱发结石,可营养丰富、化痰理气、健脾除湿|可预防癌症、润肠通便|可延缓衰老|可保护眼睛|可降低血糖、利尿通便|可益气补虚|可降血压、降血脂|可促进消化|可健脾养胃、增加食欲|可益气补虚、健脾和胃|可促进钙的吸收、降血压|可营养更佳|可补气强身|可降血脂|可提高免疫力|可营养丰富、健脑益智|可健胃消食|可补气益血|降压减脂|易于消化|促进消化|益胃助食|易于消化|健脾养胃增加食欲|防止便秘|补脑健脑|提供全面的营养|提供高质量蛋白质
414,792,238:295:120:295:120,易引发心绞痛,利湿|防癌抗癌|增加蛋白质的吸收|可提高免疫力|可利于营养吸收
407,792:870:870,287:295:120:688:868:295:120:690,心痛|消化不良|会引发心绞痛,预防大肠癌和胃癌|防癌抗癌|增加抵抗力|可开胃消食|可增强记忆力、益气补血|可增强免疫力、防癌抗癌|可降血压、降血脂|可补气血
409,1463,238,鲜味反失,利湿
423,185:301,595:1482:444:463:532:653:86:690:185:133:590:463:412:335:919:943:927:919:908:667:1499:1482:1315:350:335:444:694:1058,易患皮炎|会破坏维生素C,可润肺止咳|可镇静解热|可润肺止咳|可润肤美白|可补虚强身|可滋阴润肺、减肥、祛斑|可治脾胃虚弱、肺胃阴虚|可滋阴清热、养肝明目|可清热解毒|可滋补气血、润肺护肝|可生津止渴|可滋阴润燥、止咳|可提高免疫力|可清咽润肺|滋肾补脑|可滋补身体、补益肝肾、利水消肿|可补益脾胃、滋阴润肺、健脑强身|可养阴润肺、治喉痒干咳|可滋阴润燥、治疗失眠|可延缓衰老|美容养颜|润燥除烦|滋补润肺|滋阴润肺|滋阴润肺|润肺止咳|补肾|滋补肺阴
404,,,,
439,,335:436,,润肺止咳|提高营养素的吸收率
440,,,,
435,867,868:868:997:238:694:866:806,会降低营养价值,促进蛋白质的吸收|可增强免疫力|可提高免疫力|可滋阴润燥|可促进营养吸收|可滋阴润燥、缓解高血压|可增强免疫力、壮骨补虚
436,,439:667:738:1061:324,,提高营养素的吸收率|可增强营养|可健脾养胃|可降胆固醇|可降脂、降血糖
437,,,,
422,,,,
405,,,,
412,185:191:1047:1048,330:1056:178:930:327:1057:348:698,引发皮炎|引发皮炎|腹胀|一起吃会中毒，可以用莲房治疗,补血|润肠美肤嫩白降压|豇豆具有解渴健脾、补肾止泻、益气生津的作用；木耳则具有益气养胃润肺、凉血止血和降脂减肥的作用。所以豇豆和木耳一起吃对高血压、高脂血症、糖尿病、心血管病有防治的作用。|促进血液循环|清热泻火|润肠美肤嫩白降压|补气强身|增强体质
425,,,,
441,,,,
438,,,,
403,,204,,保护眼睛抗癌抗老化
402,,,,
401,,,,
417,,,,
338,,,,
259,,324:324,,防止高血压|可防高血压
268,1067:1066:1002:1318:1002:112:1318,738:806:256:690:63:74:630:444:236:247:908:763:256:667:247:908,形成草酸钙产生结石|形成草酸钙产生结石|形成草酸钙产生结石|一起吃会伤眼睛，引起眼睛不适，严重会失明|形成草酸钙产生结石|会降低钙吸收|会伤害眼睛,可补脾健胃|可抗衰老|可防癌抗癌|可增强免疫|可生津止渴、降血糖、降血脂|可生津止渴、降血脂、降血糖|可预防心血管|可保护心脏|可增强免疫|可提高免疫力|可降血压、降血脂|可降胆固醇|防癌抗癌抗菌消炎|可滋阴润燥|提高机体的免疫力|提高人体对维生素c和维生素E的吸收率
259,,,,
267,,410,,促进血液循环
263,256,521:803:32,一起吃会伤胃,可和胃安神|可降血脂|可解表和中
256,868:400:1318,667:314:268:324:954:1381:391:32:340,会引起消化不良|会危害健康|会刺激肠胃,可解除疲劳|可清热解毒|可防癌抗癌|可控制血糖、降血压|可开胃消食、杀菌、降血压|可消毒杀菌|可清热治痢|可治疗肠炎|可增加食欲
220,690,951:868:840:1040:271:195:243:238:1381,有损营养素的吸收,通乳汁|可降低心血管疾病|可清热去火|可清热解暑、利水消肿|可解毒、补肾|可排毒瘦身|可消火利尿|可清热解毒|可消毒杀菌
219,690:690,951:688:738:271:1443,有损营养素的吸收|会破坏营养,通乳汁|可增强免疫|可预防感冒、防止中暑|可排毒瘦身|可增进食欲
112,622:622:268:301:1015:1015:268:301:667:698:311:672:1015:881:301:682,521:746:74:646:222:195:317:908:521:746:74:646:222:195:317:74,会引起腹胀、消化不良|会引起腹胀、消化不良|会降低钙吸收|会影响钙的消化吸收|会影响钙的消化吸收|会影响钙的消化吸收|会降低钙吸收|会影响钙的消化吸收|腹胀|一起吃会消化不良|降低铁的吸收|腹胀|一起吃会消化不良|酸牛奶含丰富的钙质，黄豆所含的化学成份影响钙的消化吸收|食物中的维生素C会对铜的析放量产生抑制作用|腹胀,可补血、降血脂|可防颈椎病、美容|可健脾和胃、益气宽中|可丰胸美容|可通气、顺畅、润燥消肿|可利于骨骼发育|可健脾宽中、祛风解毒|降低胆固醇|可补血、降血脂|可防颈椎病、美容|可健脾和胃、益气宽中|可丰胸美容|可通气、顺畅、润燥消肿|可利于骨骼发育|可健脾宽中、祛风解毒|有利于营养素的吸收
209,1444,251:251:418:646,影响营养素的吸收,清热祛痰防止便秘口臭|可清热去火、防治口臭|可益气补虚、健脾和胃|可健脑益智
114,,410,,可清热解毒
155,800:91:226:63:800,1165:178:245:245:335:601:48:391:412,一起吃会胀破肚皮|会食物相克|会损伤元气|会易腹泻|会易中毒,控制血糖含量|豇豆和绿豆同煮汤饮服，具有清热解毒的功效，适用于小儿夏季生痱子、小疖肿等病症。|保健作用|可清热解毒、生精止渴|可解渴润燥、降血压、降血糖|可清热解暑|可健脾胃、去暑热|可消暑解渴、止痢|可降压消暑
113,,1316:870:948:610:74:870:521:1316:661:559,,滋补肝肾活血行经美容乌发|帮助人体更好地吸收牛奶中的维生素B12|可滋阴补肾|可辅助治疗尿血、清热解毒|可补气安神|可利于吸收维生素B12|可补肾补血|可美容乌发|可补肝益肾|可营养丰富
168,1047:1048,276:1499,腹胀|一起吃会肠绞痛,增加抵抗力|清肝去火
164,1048,324:120:672:667,引起结肠癌,补钙|适宜慢性肝炎|提高维生素B12的吸收率|提高维生素B12的吸收率
184,,,,
158,750:939:763:778,31:238:868:950:245:867,影响营养素的吸收|缓解脚气病，利尿|同食会引起中毒|会危害健康,改善脾虚腹泻和水肿|消除全身水肿|可补肾滋阴、活血利尿|可健脾利湿、补血|可润肤、止咳、减肥|可止泻
162,,,,
180,,,,
177,,,,
180,,,,
120,301:347:301:263:1318:983:327:247:310:263,287:410:271:314:340:434:185:226:428:243:1040:986:950:942:948:956:412:276:986:935:908:1232:357:954:698:1015:558:407:414:418:400:185:1068:981:1017:955:164:395:191:997:763:992:418:407:323:287:314:942:961:951:939:930:428:236:698:311:1069:1040:930:950:961:951:984:414,会影响钙吸收|易形成结石|菠菜中的草酸与豆府中的钙形成草酸钙，使人体的钙无法吸收|形成草酸钙，造成了对钙的吸收困难，导致人体内钙质的缺乏|易导致腹泻|增加蛋白质的吸收率|会形成结石|会易结石、补钙、降血压|会破坏营养素|会影响钙吸收,可增强机体免疫力|可促进血液循环|可治疗便秘、清热散血|可美白护肤、清肝利胆|可防止尿酸结石|可清热解毒|可促进吸收|可补脾健胃|可均衡营养、降血压|可降血脂|可补气养血、美容养颜|可滋阴润燥、健脾开胃|可解毒美容、温补脾胃、补充蛋白质|可增强免疫力|可提高营养吸收率|可补钙|可健脾养胃|可清热利尿|可滋阴润燥、健脾开胃|可加倍吸收钙|可利于钙的吸收|可消脂减肥|可润肺止咳|可降血压、降血脂、益胃健脾|可补铁补血|可利于消化|可减肥淡斑|可降血压、降血脂|可利于营养吸收|可健脾养胃、增加食欲|可降压降脂|有利于消化|促进钙的吸收|促进蛋白的吸收|补钙|增加蛋白质的吸收|适宜慢性肝炎|减肥健美|帮助人体吸收豆腐中的营养|蛋白质的吸收率|清热泻火、除烦、止渴|促进蛋白质的吸收|健脾养胃增加食欲|增加抵抗力|清热降压|清肺止咳|减肥健美|具有很好的进补和食疗功用。|可补气养血|可缓解更年期症状、消肿利湿|可有益补钙|可增强免疫|预防碘缺乏|减肥美容|补血|清肠排毒|可促进智力发育|去热寒|补中调胃利水消肿促进骨骼发育|补充钙质|补钙|清心润肺健脾利胃|增加蛋白质的吸收|增加蛋白质的吸收
138,263:1318,961:185:1444,影响钙质的吸收|有损听力，腹泻,补钙|有利于消化|可和胃补肾
135,263:1318,961:185:396:690,影响钙质的吸收|有损听力，腹泻,补钙|有利于消化|抗疲劳|可提高人体免疫力
137,1318,961:185,有损听力，腹泻,补钙|有利于消化
129,263:1318,961:185,影响钙质的吸收|有损听力，腹泻,补钙|有利于消化
133,263,,影响钙质的吸收,
444,394:185:858:185:195:975,956:935:1499:226:500:1232:71:881:573:423:243:268:943:1232:573:423,营养维生素的吸收|会导致甲状腺肿大|会导致腹泻|会导致甲状腺肿|会破坏维生素C|身体不适,可治疗腹泻|可治疗腹泻|可治疗小儿下痢|可调理肠胃|可润肠通便|可防癌、抗老化|可温中下气|可开胃消食、润肠排毒|可防止铅中毒|可润肺止咳|可助消化|可保护心脏|可治疗腹泻|防癌，抗老化|防止铅中毒|润肺止咳
